Brand,Product Name,Product URL,Image URL,Description,Price,Category
Essence,Fresh & Fit,https://www.notino.co.uk/essence/fresh-fit-liquid-foundation/,https://cdn.notinoimg.com/list_2k/lumene/4059729338341_01-o.jpg,liquid foundation,5.00,foundation
Eveline Cosmetics,Satin Matt,https://www.notino.co.uk/eveline-cosmetics/satin-matt-mattifying-foundation-with-snail-extract/,https://cdn.notinoimg.com/list_2k/eveline-cosmetics/5901761997613_01-o.jpg,mattifying foundation with snail extract,4.60,foundation
Estée Lauder,Double Wear Stay-in-Place Matte Powder Foundation,https://www.notino.co.uk/estee-lauder/double-wear-stay-in-place-matte-powder-foundation-powder-foundation-spf-10/,https://cdn.notinoimg.com/list_2k/estee-lauder/887167508668_01-o.jpg,powder foundation SPF 10,35.90,foundation
Eveline Cosmetics,Wonder Match Lumi,https://www.notino.co.uk/eveline-cosmetics/wonder-match-lumi-moisturising-smoothing-foundation-spf-20/,https://cdn.notinoimg.com/list_2k/eveline-cosmetics/5903416043171_01-o.jpg,moisturising smoothing foundation SPF 20,13.00,foundation
Clinique,Even Better™ Makeup SPF 15 Evens and Corrects Mini,https://www.notino.co.uk/clinique/even-better-makeup-spf-15-evens-and-corrects-mini-corrective-foundation-spf-15/,https://cdn.notinoimg.com/list_2k/clinique/192333160923_01-o.jpg,corrective foundation SPF 15,9.90,foundation
Bourjois,123 Perfect,https://www.notino.co.uk/bourjois/123-perfect-liquid-foundation-for-perfect-look/,https://cdn.notinoimg.com/list_2k/bourjois/3052503635101_01-o__27.jpg,liquid foundation for the perfect look,7.10,foundation
Max Factor,Lasting Performance,https://www.notino.co.uk/max-factor/lasting-performance-long-lasting-liquid-foundation/,https://cdn.notinoimg.com/list_2k/max-factor/50683376_01-ox__24.jpg,long-lasting liquid foundation,6.50,foundation
Max Factor,Panstik,https://www.notino.co.uk/max-factor/panstik-foundation-and-concealer-in-one/,https://cdn.notinoimg.com/list_2k/max-factor/mxfpanw_kmup__22.jpg,foundation and concealer in one,4.70,foundation
ARTDECO,High Performance,https://www.notino.co.uk/artdeco/high-performance-lifting-longlasting-make-up/,https://cdn.notinoimg.com/list_2k/artdeco/4019674489208_01-o__30.jpg,long-lasting firming foundation shade 489.20 Reflecting Sand 30 ml,17.80,foundation
Dermacol,Compact Wet & Dry,https://www.notino.co.uk/dermacol/wet-dry-powder-foundation/,https://cdn.notinoimg.com/list_2k/dermacol/8595003107556_01-o__19.jpg,powder foundation,6.80,foundation
Max Factor,Facefinity All Day Flawless,https://www.notino.co.uk/max-factor/facefinity-all-day-flawless-long-lasting-foundation-spf-20/,https://cdn.notinoimg.com/list_2k/max-factor/5410076971398_01-o__13.jpg,long-lasting foundation SPF 20,6.90,foundation
Alcina,Decorative Matt Sensation,https://www.notino.co.uk/alcina/decorative-matt-sensation-compact-powder-and-foundation-2-in-1-with-brush/,https://cdn.notinoimg.com/list_2k/alcina/4008666650627_01-o__18.jpg,2-in-1 compact powder and foundation,19.80,foundation
Sisley,Sisleÿa Le Teint,https://www.notino.co.uk/sisley/sisleya-anti-aging-foundation-anti-wrinkle-foundation/,https://cdn.notinoimg.com/list_2k/sisley/3473311807120_01-o__12.jpg,anti-wrinkle foundation,93.70,foundation
Maybelline,Fit Me! Matte+Poreless,https://www.notino.co.uk/maybelline/fit-me-matteporeless-foundation/,https://cdn.notinoimg.com/list_2k/maybelline/3600531324483_01-o__15.jpg,mattifying foundation for normal to oily skin,7.30,foundation
